math,science,english,arts,commerce,coding_skill,communication,creativity,analytical,leadership,interest_tech,interest_science,interest_arts,interest_business,stress_tolerance,career_label
79,85,83,33,53,35,87,67,81,79,54,86,24,50,90,Doctor
99,67,55,36,54,93,57,50,76,67,81,70,39,57,76,Software Engineer
45,40,71,91,41,39,75,91,45,47,52,27,97,41,66,Graphic Designer
81,62,67,34,99,33,64,39,77,65,38,52,29,81,76,Accountant
89,84,72,41,42,91,63,68,80,70,87,86,39,51,62,Software Engineer
94,70,75,44,60,89,57,79,80,66,93,94,32,49,67,Data Scientist
89,68,60,53,83,42,60,55,89,58,59,32,43,93,60,Accountant
73,66,71,51,90,61,97,85,82,89,69,64,56,96,86,Entrepreneur
86,52,80,43,80,55,67,30,85,46,55,32,32,81,56,Accountant
58,56,79,83,60,57,75,99,56,67,72,28,94,42,69,Graphic Designer
95,79,76,45,66,71,73,77,97,52,82,88,28,46,60,Data Scientist
85,88,75,34,48,41,83,46,78,84,67,97,35,45,68,Doctor
62,67,80,57,44,35,84,70,68,69,28,72,62,35,75,Psychologist
76,75,59,30,47,61,58,58,83,51,81,92,47,50,69,Mechanical Engineer
67,51,80,61,78,66,82,99,84,84,81,39,71,92,80,Entrepreneur
78,57,83,47,82,43,99,82,76,96,79,35,71,81,73,Entrepreneur
63,67,88,63,63,22,98,89,65,78,35,70,58,55,59,Teacher
61,56,80,59,53,35,94,69,71,78,32,74,77,33,77,Psychologist
91,95,81,49,58,37,79,51,72,88,45,88,24,51,89,Doctor
82,92,58,30,67,88,57,74,88,42,80,95,39,58,80,Data Scientist
80,84,78,48,68,68,69,56,94,43,77,97,33,40,55,Data Scientist
93,67,56,35,58,89,53,53,81,59,93,81,44,60,81,Software Engineer
78,79,91,71,42,36,94,83,69,87,55,56,66,53,57,Teacher
75,66,76,65,40,39,81,77,70,70,48,48,74,32,56,Teacher
95,61,76,43,99,46,78,31,79,60,63,59,41,85,76,Accountant
80,76,53,45,63,68,63,71,93,48,97,86,21,35,60,Mechanical Engineer
98,74,61,49,56,96,76,50,84,62,87,89,34,47,82,Software Engineer
93,46,72,51,84,30,63,49,84,74,45,47,36,80,65,Accountant
82,92,61,51,65,89,70,76,99,69,84,87,20,41,64,Data Scientist
82,54,72,48,82,33,67,43,78,56,50,39,42,98,74,Accountant
95,50,77,50,91,53,74,36,97,56,48,42,45,85,65,Accountant
95,60,66,40,88,52,60,45,83,73,38,57,45,96,60,Accountant
96,78,73,53,46,85,56,63,97,63,93,83,30,37,71,Software Engineer
52,41,68,81,37,38,67,89,40,48,66,37,91,61,52,Graphic Designer
64,62,85,77,50,27,92,82,69,71,34,78,71,30,86,Psychologist
46,50,77,81,51,45,83,87,61,62,57,41,91,55,68,Graphic Designer
91,72,78,44,60,89,77,75,86,40,91,82,29,51,70,Data Scientist
62,76,96,66,36,23,80,65,88,61,27,74,61,42,80,Psychologist
62,56,88,50,45,26,81,66,69,90,34,57,73,48,69,Teacher
98,73,58,37,67,89,65,70,81,45,86,97,27,39,78,Data Scientist
73,74,89,68,42,39,99,80,61,87,37,71,68,47,55,Teacher
98,74,57,35,55,94,55,51,77,57,82,64,38,54,83,Software Engineer
60,71,79,66,54,37,86,63,80,74,38,61,64,49,88,Psychologist
46,39,65,87,51,48,64,88,42,46,75,30,85,56,73,Graphic Designer
64,35,58,94,50,45,62,96,51,50,65,48,89,55,62,Graphic Designer
84,81,74,53,44,75,56,53,89,63,81,86,27,64,77,Data Scientist
99,56,79,38,88,54,66,53,91,60,46,39,45,76,57,Accountant
54,39,73,82,51,47,83,87,67,43,67,43,87,48,65,Graphic Designer
50,77,81,76,48,18,96,61,87,61,32,66,62,49,81,Psychologist
81,88,72,54,50,36,93,64,90,88,44,90,28,29,66,Doctor
83,82,64,45,52,65,65,67,88,45,97,87,24,59,84,Data Scientist
54,76,82,57,64,27,85,80,87,73,49,66,65,51,73,Psychologist
93,95,68,46,36,27,71,53,79,68,67,85,31,38,83,Doctor
80,62,80,38,91,35,68,46,81,47,51,52,42,84,57,Accountant
63,69,98,59,59,30,88,86,71,78,54,74,77,38,78,Teacher
94,63,75,37,94,43,69,41,85,65,37,54,33,76,72,Accountant
78,55,70,59,86,51,98,76,85,83,79,37,46,98,69,Entrepreneur
90,80,80,41,43,91,74,69,93,73,84,60,45,38,76,Software Engineer
56,71,95,63,70,35,96,70,85,72,30,47,62,73,75,Lawyer
61,52,55,92,57,63,79,91,45,66,58,47,94,56,52,Graphic Designer
79,51,68,74,99,64,79,97,88,80,74,37,57,86,70,Entrepreneur
96,90,67,46,58,51,69,69,81,46,81,81,38,35,84,Mechanical Engineer
89,83,74,46,46,57,59,61,98,65,86,82,43,44,79,Mechanical Engineer
81,82,68,47,51,62,68,75,82,57,90,93,26,56,81,Mechanical Engineer
96,74,76,47,66,89,73,57,98,66,99,82,44,55,81,Data Scientist
88,54,69,25,96,56,66,41,93,61,41,52,30,98,56,Accountant
66,71,82,61,64,47,81,81,76,89,43,67,57,48,68,Teacher
92,90,62,59,48,21,86,55,90,88,46,91,25,35,79,Doctor
53,79,77,66,56,30,90,69,83,69,45,84,57,53,70,Psychologist
80,78,79,26,43,93,58,77,80,67,92,88,32,42,60,Data Scientist
75,57,90,57,49,28,82,71,62,72,45,66,68,36,58,Teacher
99,87,63,36,53,88,77,65,81,55,92,98,28,59,62,Data Scientist
74,60,87,73,57,37,80,85,77,94,50,71,65,45,55,Teacher
70,57,95,59,41,39,84,68,79,80,44,65,62,49,69,Psychologist
59,45,77,82,52,59,71,91,56,65,75,28,89,52,72,Graphic Designer
61,56,82,63,57,20,96,81,76,74,45,51,69,48,75,Teacher
90,77,73,48,54,65,56,71,82,47,86,84,46,48,79,Mechanical Engineer
75,70,75,72,52,38,83,83,76,79,42,45,67,39,69,Teacher
51,47,74,99,56,43,76,98,57,47,57,46,95,56,71,Graphic Designer
62,59,87,70,64,28,87,75,79,93,58,58,62,53,78,Teacher
84,94,75,41,67,65,67,51,96,54,82,76,27,61,59,Data Scientist
88,47,61,49,85,39,58,33,84,54,47,35,26,79,69,Accountant
98,77,80,47,63,80,62,61,94,50,98,86,39,42,74,Software Engineer
84,76,96,55,54,32,98,86,58,71,32,58,58,45,65,Teacher
90,89,67,37,69,72,61,69,92,50,93,80,27,53,59,Data Scientist
69,57,89,66,56,39,88,70,91,76,29,36,54,72,67,Lawyer
62,63,78,61,39,21,87,73,88,69,30,64,69,45,91,Psychologist
43,44,59,87,60,59,72,85,64,60,53,29,89,64,74,Graphic Designer
92,75,75,43,63,83,75,73,95,42,88,95,25,51,70,Data Scientist
81,57,98,54,42,33,97,69,57,92,31,53,72,56,56,Teacher
79,69,56,44,40,95,54,46,85,65,89,61,49,43,83,Software Engineer
83,59,79,49,92,30,76,31,80,51,53,33,37,97,63,Accountant
82,82,61,56,46,97,69,62,90,53,95,86,43,38,82,Software Engineer
77,58,66,56,91,60,84,81,66,97,71,50,74,81,75,Entrepreneur
80,85,82,51,43,33,89,46,88,85,66,90,25,37,74,Doctor
50,58,65,90,35,36,79,85,58,59,59,38,89,45,61,Graphic Designer
52,59,76,63,58,19,96,80,84,74,54,72,63,31,87,Psychologist
79,89,80,56,49,95,77,65,90,65,92,64,47,57,89,Software Engineer
46,44,73,92,48,49,65,91,52,55,64,37,87,50,74,Graphic Designer
76,90,70,31,37,26,75,55,90,70,61,98,22,42,73,Doctor
63,77,80,71,50,23,87,73,77,93,55,46,74,32,60,Teacher
83,62,67,69,71,40,79,81,84,83,81,37,50,91,93,Entrepreneur
97,50,70,47,89,55,65,37,95,47,36,47,21,86,59,Accountant
94,94,81,33,53,92,54,74,93,51,98,79,30,49,68,Software Engineer
94,72,69,26,51,91,59,58,83,62,95,81,35,47,56,Data Scientist
85,73,67,51,50,69,68,74,81,42,77,85,28,53,64,Data Scientist
60,53,69,54,80,57,79,98,86,83,80,53,60,81,79,Entrepreneur
53,63,80,73,41,41,95,74,80,73,28,82,56,36,88,Psychologist
97,81,50,31,44,63,57,63,89,55,91,96,37,31,84,Mechanical Engineer
83,92,66,39,30,20,83,66,77,73,46,86,44,50,87,Doctor
81,91,64,30,50,43,77,68,87,72,56,86,25,53,85,Doctor
94,79,79,41,55,81,63,48,83,64,95,82,27,57,61,Software Engineer
82,67,78,32,56,78,68,56,99,69,84,70,49,41,80,Software Engineer
76,70,81,51,48,46,91,77,68,81,32,66,75,45,72,Teacher
93,57,69,41,85,49,75,43,98,52,41,34,25,82,75,Accountant
59,58,79,72,61,24,89,69,71,79,38,84,62,55,73,Psychologist
65,45,89,67,86,56,95,85,84,91,78,47,62,80,67,Entrepreneur
81,81,70,41,64,82,60,74,86,48,96,75,31,59,74,Software Engineer
92,99,60,45,57,41,72,41,84,63,66,98,28,46,92,Doctor
77,84,59,53,55,68,74,56,87,51,92,88,47,47,68,Mechanical Engineer
63,47,58,84,61,46,74,89,44,55,74,28,99,64,76,Graphic Designer
63,52,91,55,67,20,92,59,73,72,27,31,59,78,66,Lawyer
90,94,74,25,59,80,59,76,95,63,79,84,28,56,84,Data Scientist
53,52,71,84,45,52,75,94,49,45,63,21,97,61,58,Graphic Designer
99,95,51,50,43,74,73,76,99,67,81,75,33,42,57,Mechanical Engineer
57,57,87,65,78,29,84,67,84,71,36,32,47,69,61,Lawyer
67,57,97,67,63,15,98,82,86,61,28,75,70,46,92,Psychologist
97,73,79,51,69,86,78,46,90,42,92,79,28,43,77,Software Engineer
62,79,99,68,54,37,99,71,68,93,49,63,79,53,65,Teacher
62,72,87,76,59,27,86,89,78,92,51,63,74,53,66,Teacher
98,87,50,36,39,62,57,69,92,50,84,96,30,55,62,Mechanical Engineer
79,72,74,34,50,93,70,67,93,50,98,64,21,54,78,Software Engineer
59,51,91,44,67,36,86,75,80,69,54,47,45,62,65,Lawyer
78,66,91,64,48,46,99,89,70,87,47,48,58,50,81,Teacher
87,88,79,32,59,49,90,60,85,83,65,91,46,33,87,Doctor
73,67,76,79,47,28,98,83,77,78,52,72,61,43,56,Teacher
68,69,81,67,54,16,98,78,67,62,50,65,67,43,70,Psychologist
62,65,98,66,44,42,88,65,79,78,33,60,69,39,59,Teacher
78,96,63,54,40,36,90,40,78,71,62,96,29,33,85,Doctor
78,59,80,63,76,34,82,70,74,77,29,52,64,70,76,Lawyer
88,91,70,48,46,27,75,44,77,86,47,87,38,40,74,Doctor
83,75,53,51,64,62,66,74,93,67,93,81,28,54,74,Mechanical Engineer
82,74,95,55,60,24,99,73,75,94,59,48,79,34,62,Teacher
60,60,76,73,59,23,97,73,77,71,36,72,61,45,81,Psychologist
59,51,91,50,75,30,83,61,90,88,47,50,52,73,70,Lawyer
70,72,81,74,47,36,93,81,66,87,30,68,61,35,69,Teacher
86,92,68,35,47,48,75,45,91,69,50,98,31,49,84,Doctor
85,45,75,50,88,41,63,42,81,69,35,58,22,98,57,Accountant
81,64,69,47,85,33,62,43,90,59,47,41,26,89,60,Accountant
68,72,99,65,58,39,88,83,60,81,44,65,60,34,83,Teacher
68,75,95,54,64,48,89,77,55,90,55,50,79,32,71,Teacher
76,75,94,52,56,42,96,80,60,87,43,64,62,48,63,Teacher
71,69,80,73,36,20,90,60,86,68,37,68,69,57,82,Psychologist
54,67,77,63,38,42,87,75,89,70,47,78,64,56,86,Psychologist
77,66,80,74,57,32,94,65,77,77,47,64,78,41,84,Teacher
85,82,81,59,42,92,79,65,89,71,82,71,49,50,71,Software Engineer
63,67,93,63,60,34,81,58,84,67,53,33,43,74,70,Lawyer
92,95,60,33,32,39,75,65,75,87,56,87,36,53,81,Doctor
64,74,83,69,70,63,75,98,69,86,78,49,55,91,81,Entrepreneur
97,81,58,51,41,84,54,49,84,50,89,70,25,37,70,Software Engineer
90,80,63,55,49,81,58,66,91,62,95,75,47,49,80,Software Engineer
88,59,81,38,91,46,71,42,82,54,60,42,26,77,78,Accountant
92,86,64,36,47,85,71,45,93,73,90,89,24,48,76,Software Engineer
64,69,68,52,78,56,98,82,69,89,72,62,67,93,91,Entrepreneur
62,38,78,98,64,56,66,92,66,54,69,24,90,35,61,Graphic Designer
56,64,84,67,59,35,95,71,76,66,52,59,53,77,84,Lawyer
81,70,76,68,93,61,92,88,80,85,55,47,50,85,70,Entrepreneur
67,62,76,74,50,28,98,79,68,65,50,71,64,38,67,Psychologist
87,98,63,39,47,50,60,79,80,71,90,93,36,54,57,Mechanical Engineer
80,97,65,52,48,35,81,54,80,66,63,94,38,29,81,Doctor
45,61,71,98,46,54,75,92,41,54,72,38,85,40,67,Graphic Designer
63,78,81,69,40,47,90,77,57,93,37,56,56,52,55,Teacher
75,77,83,52,56,32,95,89,59,74,32,57,62,37,71,Teacher
93,66,66,32,95,51,70,43,91,49,43,32,40,96,59,Accountant
78,76,62,38,49,93,58,67,98,55,80,69,35,50,86,Software Engineer
85,84,58,53,63,92,79,58,94,44,80,85,32,46,81,Data Scientist
51,64,60,87,43,52,69,93,65,60,65,36,85,41,71,Graphic Designer
64,64,78,73,49,20,96,72,84,76,39,66,77,51,75,Psychologist
82,93,69,50,54,72,64,66,88,62,81,95,30,54,78,Mechanical Engineer
97,71,73,41,57,86,78,53,97,44,86,89,34,37,75,Data Scientist
85,84,65,48,61,86,72,72,98,51,86,81,35,46,84,Data Scientist
79,79,85,75,59,40,84,71,66,71,36,65,59,56,76,Teacher
97,45,84,42,86,46,67,59,84,58,35,52,25,78,73,Accountant
68,63,65,57,94,46,96,94,85,86,79,40,56,83,92,Entrepreneur
68,67,86,64,60,38,85,60,89,86,34,33,49,81,60,Lawyer
89,63,75,41,99,42,55,30,91,62,62,46,31,80,61,Accountant
54,52,67,85,42,50,79,96,65,42,74,36,94,52,61,Graphic Designer
93,72,64,39,55,80,75,70,94,47,82,61,29,41,68,Software Engineer
81,92,80,52,32,34,79,60,88,71,42,96,33,41,91,Doctor
63,56,89,70,39,41,95,60,72,60,31,65,62,34,91,Psychologist
78,76,83,39,49,89,60,58,99,41,86,88,44,51,70,Software Engineer
87,99,71,30,42,36,86,46,80,71,48,99,20,50,86,Doctor
96,89,62,51,62,72,70,72,98,45,80,75,28,50,68,Mechanical Engineer
59,63,90,63,40,19,83,79,85,77,40,83,61,43,94,Psychologist
84,85,71,53,57,90,70,60,82,49,92,90,28,55,55,Data Scientist
72,96,80,39,56,37,94,69,72,60,62,95,24,49,67,Doctor
66,71,83,64,91,66,77,91,72,83,55,52,66,80,73,Entrepreneur
68,79,77,61,62,38,94,67,74,87,51,60,69,34,64,Teacher
62,72,97,62,74,33,90,74,79,70,31,31,62,85,77,Lawyer
53,37,71,96,43,54,79,88,50,54,74,32,95,62,73,Graphic Designer
59,74,84,40,75,23,86,63,79,85,27,47,48,64,70,Lawyer
99,50,63,25,85,53,60,58,86,47,47,53,29,83,71,Accountant
82,61,61,50,89,36,63,54,94,59,42,46,46,85,70,Accountant
88,79,68,50,41,77,73,51,98,73,87,86,31,38,85,Software Engineer
84,51,76,47,88,48,79,50,87,53,47,43,27,88,67,Accountant
60,79,84,64,58,48,96,74,76,77,52,51,72,56,58,Teacher
57,58,75,82,43,62,66,92,61,46,68,20,85,35,60,Graphic Designer
95,78,84,35,61,78,62,60,98,56,91,82,31,63,79,Software Engineer
73,99,67,38,44,37,72,67,93,76,40,91,29,39,87,Doctor
67,64,94,56,62,15,93,76,68,84,54,68,61,50,86,Psychologist
93,63,67,48,91,31,57,50,87,49,52,30,24,95,66,Accountant
70,88,82,35,42,31,88,65,86,64,66,92,34,38,67,Doctor
84,89,74,55,52,30,75,45,74,89,69,99,44,25,84,Doctor
75,88,83,57,54,21,86,40,82,71,67,91,48,54,66,Doctor
95,65,63,40,82,30,71,34,77,63,45,44,21,99,81,Accountant
72,50,67,73,80,50,95,84,75,95,74,44,56,98,73,Entrepreneur
71,57,95,51,58,19,86,78,87,86,54,49,53,67,72,Lawyer
76,60,95,60,63,18,88,68,79,86,40,38,42,87,89,Lawyer
64,53,85,48,72,16,85,65,82,70,36,48,57,89,78,Lawyer
90,71,69,35,59,93,58,61,80,56,84,74,47,36,73,Software Engineer
64,60,88,55,59,44,91,76,62,92,49,69,56,59,59,Teacher
85,88,79,49,46,94,78,58,85,72,97,82,41,44,72,Software Engineer
78,66,97,40,63,24,95,65,90,68,48,48,47,62,81,Lawyer
89,73,66,45,55,88,72,65,92,55,89,82,34,55,75,Data Scientist
69,58,88,67,54,21,86,65,87,67,30,84,58,57,69,Psychologist
77,57,92,65,65,24,83,64,86,72,44,34,68,79,74,Lawyer
55,50,86,55,77,34,93,75,81,69,31,41,58,64,66,Lawyer
95,55,73,30,95,46,64,58,95,66,60,42,32,76,55,Accountant
52,42,56,98,48,57,60,93,65,48,68,33,88,36,59,Graphic Designer
63,67,94,56,45,31,91,80,67,86,37,45,66,54,74,Teacher
86,85,61,55,56,34,80,61,94,64,48,93,33,32,75,Doctor
86,55,73,54,81,51,71,31,89,51,37,52,25,95,80,Accountant
60,67,93,68,77,16,85,74,76,72,34,42,66,60,64,Lawyer
79,59,88,54,42,20,89,79,71,81,43,68,58,58,65,Teacher
63,58,73,86,42,53,67,94,48,58,77,37,98,52,54,Graphic Designer
69,66,97,58,54,39,88,73,69,68,51,61,66,57,76,Psychologist
71,79,93,62,61,37,95,84,85,82,32,68,78,41,76,Psychologist
78,60,89,47,57,33,83,67,78,85,46,49,69,72,68,Lawyer
86,89,83,42,43,41,85,52,87,77,66,93,47,25,92,Doctor
87,95,78,47,38,44,91,67,92,89,44,94,36,44,77,Doctor
60,58,57,83,55,50,71,96,46,40,73,30,99,53,72,Graphic Designer
83,85,80,45,38,47,74,44,75,65,47,98,20,40,79,Doctor
74,72,67,72,84,40,95,94,75,83,73,56,72,89,91,Entrepreneur
63,49,71,90,44,38,76,98,69,41,56,35,94,51,71,Graphic Designer
65,67,85,66,48,34,82,74,75,62,42,67,77,37,77,Psychologist
68,41,69,87,53,36,60,96,58,63,77,27,99,41,77,Graphic Designer
96,82,72,54,65,92,74,67,82,62,87,72,31,39,68,Software Engineer
81,80,71,59,47,77,74,68,95,45,97,70,25,56,86,Software Engineer
77,64,81,60,69,25,92,74,84,74,41,34,40,78,71,Lawyer
88,88,75,58,53,28,93,48,77,88,44,89,36,48,91,Doctor
84,97,60,30,44,45,72,53,91,69,42,88,37,47,68,Doctor
83,94,74,53,59,38,77,49,82,63,50,86,49,43,88,Doctor
64,69,82,71,59,37,93,82,70,76,53,61,65,45,83,Psychologist
44,43,66,87,44,48,79,99,47,48,77,46,89,35,60,Graphic Designer
68,69,77,50,59,26,92,67,64,93,47,60,63,44,68,Teacher
94,86,65,44,57,24,94,63,94,82,44,88,49,37,88,Doctor
54,41,77,98,51,57,72,94,47,61,63,42,93,42,63,Graphic Designer
77,53,80,54,81,48,88,76,89,89,76,55,54,81,70,Entrepreneur
55,65,80,59,64,28,81,60,69,67,34,80,73,32,82,Psychologist
90,77,79,42,63,86,78,41,88,49,98,82,41,53,85,Software Engineer
87,62,80,52,94,57,61,30,80,67,50,53,40,88,62,Accountant
76,83,63,32,63,96,59,44,83,70,93,70,38,43,73,Software Engineer
77,78,82,67,49,42,80,85,75,79,34,62,73,42,60,Teacher
56,62,69,89,62,43,78,91,64,69,62,21,86,55,57,Graphic Designer
84,52,76,64,96,41,83,96,72,87,58,60,49,96,89,Entrepreneur
65,64,81,73,58,42,84,71,76,90,32,70,56,48,56,Teacher
62,67,78,77,59,24,90,73,69,72,39,76,70,30,76,Psychologist
75,56,65,57,73,59,96,86,83,94,63,56,74,86,70,Entrepreneur
72,71,95,61,50,40,90,73,67,80,32,74,79,59,73,Psychologist
66,60,79,75,45,23,83,66,77,75,51,79,71,49,66,Psychologist
66,71,87,73,57,46,95,72,75,93,56,56,60,31,61,Teacher
87,96,69,36,44,34,81,68,89,74,42,97,38,31,81,Doctor
61,73,80,65,54,33,92,81,72,89,30,66,58,45,72,Teacher
91,93,65,35,48,66,79,70,87,40,75,86,23,35,66,Data Scientist
91,74,84,39,53,75,51,59,77,44,99,62,22,35,66,Software Engineer
84,93,64,37,64,85,76,57,87,59,95,86,42,43,71,Software Engineer
79,73,82,70,62,38,98,70,74,77,32,49,55,59,55,Teacher
83,88,72,30,52,37,82,42,77,77,41,88,25,50,91,Doctor
99,50,64,46,83,48,69,50,79,74,45,47,29,90,58,Accountant
79,66,82,52,91,54,77,90,84,91,83,36,64,99,77,Entrepreneur
84,65,77,44,90,31,61,59,89,71,43,56,21,78,81,Accountant
84,67,76,43,97,53,77,41,92,49,47,33,37,94,63,Accountant
86,91,80,48,64,86,58,72,80,49,80,77,22,40,86,Software Engineer
48,62,74,98,39,47,71,89,69,46,52,32,95,44,79,Graphic Designer
88,90,61,47,43,25,81,59,90,86,47,87,24,41,90,Doctor
95,87,67,53,42,67,60,64,98,42,95,77,40,37,72,Data Scientist
66,51,81,49,79,60,94,89,77,93,71,41,68,83,92,Entrepreneur
71,66,99,60,45,20,99,64,77,60,40,78,65,51,66,Psychologist
57,54,87,45,59,35,91,60,77,86,47,54,46,73,68,Lawyer
76,69,97,76,60,40,81,68,63,81,31,69,78,58,58,Teacher
52,62,69,84,59,64,75,95,45,43,55,42,91,60,65,Graphic Designer
84,79,87,61,54,29,81,86,69,89,39,67,56,42,64,Teacher
87,52,76,54,85,41,60,44,85,54,63,31,40,80,73,Accountant
56,76,76,72,60,31,93,71,82,84,41,75,64,33,66,Psychologist
89,71,76,43,65,84,58,67,99,57,88,94,32,58,69,Data Scientist
88,71,84,30,64,99,76,74,85,57,93,62,21,49,74,Software Engineer
69,79,82,54,61,24,88,75,66,74,35,45,70,53,68,Teacher
46,57,73,93,49,55,65,94,64,42,62,38,89,52,52,Graphic Designer
60,69,95,63,55,35,86,74,86,69,35,82,56,43,80,Psychologist
96,85,58,39,56,55,73,72,91,58,96,81,27,37,82,Mechanical Engineer
75,53,87,43,56,32,97,68,79,76,32,51,56,71,88,Lawyer
78,89,66,40,35,71,74,76,76,54,86,96,30,51,78,Mechanical Engineer
67,65,92,60,60,41,96,83,81,68,44,62,77,53,76,Psychologist
98,77,73,39,50,73,70,74,92,49,84,99,39,43,82,Data Scientist
62,58,96,79,55,32,92,73,73,71,33,60,63,36,65,Psychologist
78,61,84,77,48,48,95,79,67,91,37,71,65,30,78,Teacher
85,98,68,59,42,55,60,63,88,69,93,87,20,59,63,Mechanical Engineer
84,94,59,31,42,46,51,67,99,48,86,88,39,34,55,Mechanical Engineer
45,39,73,88,58,64,70,87,46,42,76,25,87,50,57,Graphic Designer
81,56,74,54,95,32,68,52,75,60,61,53,42,80,81,Accountant
64,70,81,45,82,46,93,95,88,84,80,43,48,86,77,Entrepreneur
84,50,78,42,99,35,58,41,98,69,64,53,33,81,56,Accountant
71,90,65,34,32,46,76,42,82,86,62,86,43,26,82,Doctor
65,47,68,86,60,62,60,95,62,56,66,34,95,55,59,Graphic Designer
42,60,77,90,41,60,65,98,69,68,69,27,94,45,51,Graphic Designer
82,45,68,49,83,50,70,33,98,61,49,33,23,86,57,Accountant
92,85,79,37,52,83,76,79,97,47,75,91,43,43,64,Data Scientist
62,65,68,66,80,67,81,83,69,81,66,38,57,81,79,Entrepreneur
92,91,77,31,43,95,68,58,82,48,92,60,31,39,86,Software Engineer
81,98,80,38,37,28,82,69,80,68,59,92,29,33,91,Doctor
56,57,97,52,71,44,87,64,83,83,43,53,44,83,77,Lawyer
96,61,77,39,85,59,62,40,87,61,62,46,37,90,77,Accountant
44,36,67,87,52,38,65,93,49,43,53,26,98,46,64,Graphic Designer
86,83,70,51,41,51,62,74,87,64,84,99,33,45,67,Mechanical Engineer
68,54,71,89,50,54,75,88,59,55,76,44,87,47,72,Graphic Designer
57,71,95,66,38,41,80,69,71,75,41,65,55,40,77,Psychologist
66,63,74,91,45,38,63,99,40,66,56,46,94,60,69,Graphic Designer
86,93,63,44,49,93,79,56,81,65,81,75,48,35,60,Software Engineer
62,44,74,86,57,59,84,91,67,65,74,24,86,43,55,Graphic Designer
67,58,78,48,94,46,76,85,71,99,83,55,61,94,94,Entrepreneur
79,67,97,54,58,16,94,67,79,79,30,58,60,69,85,Lawyer
76,96,66,49,30,27,70,51,86,84,68,94,29,52,83,Doctor
83,68,79,65,78,63,81,98,89,87,56,37,66,81,92,Entrepreneur
86,69,84,56,57,99,68,41,90,67,85,83,44,64,67,Software Engineer
82,72,71,40,46,97,56,51,90,52,94,78,22,37,67,Software Engineer
81,90,74,33,37,58,53,75,83,55,80,83,44,37,69,Mechanical Engineer
89,95,77,50,44,45,85,68,77,76,41,85,34,44,71,Doctor
65,35,66,92,40,41,79,89,48,52,63,27,98,63,67,Graphic Designer
92,67,79,49,87,53,72,34,80,50,59,49,42,99,75,Accountant
55,36,62,85,44,36,78,88,45,52,50,24,92,62,56,Graphic Designer
82,98,73,50,48,64,59,67,93,46,84,88,43,50,77,Mechanical Engineer
87,51,82,38,87,40,57,34,92,49,47,34,21,87,82,Accountant
97,82,80,44,69,91,75,56,98,49,94,82,35,55,68,Software Engineer
85,98,82,56,42,45,88,54,87,62,54,99,24,37,88,Doctor
61,70,84,59,75,64,92,81,66,81,55,59,66,93,66,Entrepreneur
66,59,81,69,93,66,87,78,65,91,58,35,50,90,85,Entrepreneur
64,74,78,77,36,30,85,79,79,78,50,66,79,40,82,Psychologist
91,53,81,34,99,49,73,56,95,50,44,48,28,90,62,Accountant
77,53,72,48,88,58,96,76,75,82,55,44,65,92,67,Entrepreneur
71,55,92,68,56,22,83,78,60,74,56,50,67,38,71,Teacher
77,71,63,33,60,82,69,62,76,71,93,65,26,50,60,Software Engineer
92,80,69,33,42,63,60,62,84,73,84,76,31,50,74,Mechanical Engineer
72,70,93,57,55,39,96,57,84,78,31,59,49,84,88,Lawyer
84,93,67,37,61,81,69,41,83,56,97,83,35,34,79,Software Engineer
88,88,69,47,48,40,81,50,75,65,62,96,45,32,86,Doctor
78,86,82,30,49,33,83,57,82,63,57,87,43,28,70,Doctor
87,91,66,37,65,76,59,50,96,44,95,82,21,57,59,Data Scientist
86,93,77,32,51,30,92,53,86,78,61,88,24,53,92,Doctor
97,76,69,54,44,69,55,55,95,47,78,87,38,44,80,Data Scientist
80,54,76,45,86,32,79,34,86,54,37,45,25,90,78,Accountant
80,94,55,54,62,51,50,62,90,64,94,93,29,41,84,Mechanical Engineer
86,89,84,57,45,33,70,41,80,66,49,96,30,26,89,Doctor
60,64,78,66,46,44,80,80,78,79,40,50,76,53,55,Teacher
93,67,74,35,87,56,71,32,75,51,55,31,29,92,61,Accountant
65,71,97,64,56,36,96,57,90,71,27,54,54,63,84,Lawyer
60,72,96,56,60,27,90,73,79,66,44,37,54,88,68,Lawyer
86,94,57,40,60,71,64,67,98,66,92,88,41,38,78,Mechanical Engineer
75,84,54,31,56,63,65,63,92,61,86,95,36,50,74,Mechanical Engineer
58,54,59,88,54,59,79,85,66,67,76,35,95,51,69,Graphic Designer
79,75,95,59,47,40,81,78,56,81,46,62,71,44,57,Teacher
95,49,69,53,95,33,55,37,75,70,62,32,37,76,79,Accountant
64,71,91,58,72,18,92,57,75,70,28,57,43,72,69,Lawyer
83,95,73,50,60,53,61,65,75,50,92,98,47,52,56,Mechanical Engineer
99,70,59,51,52,91,67,46,80,46,91,65,42,37,74,Software Engineer
92,85,79,51,43,32,91,46,94,65,40,87,20,46,87,Doctor
98,95,61,44,41,74,55,59,89,71,82,96,28,59,77,Mechanical Engineer
82,67,69,43,88,47,57,38,96,71,62,40,28,79,74,Accountant
71,71,90,64,51,16,81,73,68,71,26,73,78,53,91,Psychologist
93,60,65,53,96,46,70,30,92,48,56,32,44,77,67,Accountant
52,74,80,57,60,37,94,64,65,84,49,76,74,41,84,Psychologist
81,78,51,31,38,46,50,71,82,62,88,76,46,56,58,Mechanical Engineer
